❯ python3 testIris.py                                             ─╯
Unique values in each attr:  [32, 21, 40, 22]
# of bits needed for each attr:  [5, 5, 6, 5]
################## Print Start ##################
Attributes: ('sepal_length', 'sepal_width', 'petal_length', 'petal_width')
Target: Iris
Classes: ['Iris-setosa' 'Iris-versicolor' 'Iris-virginica']
Data size: 100
Attribute Values {'sepal_length': array([43, 44, 46, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61,
       62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 76, 77, 79],
      dtype=int32), 'sepal_width': array([20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37,
       38, 39, 40, 41], dtype=int32), 'petal_length': array([10, 11, 12, 13, 14, 15, 16, 17, 19, 30, 33, 35, 37, 38, 39, 40, 41,
       42, 43, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 60,
       61, 63, 64, 66, 67, 69], dtype=int32), 'petal_width': array([ 1,  2,  3,  4,  5,  6, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20,
       21, 22, 23, 24, 25], dtype=int32)}
Individual Length: 44
Target encoding:  {'00': 'Iris-setosa', '01': 'Iris-versicolor', '10': 'Iris-virginica'}
################## Print End ##################

Generation: 91 | Best Fitness: 0.828 | Running Fitness: 0.828 | Train Accuracy: 0.91 | Test Accuracy: 0.94
Generation: 92 | Best Fitness: 0.828 | Running Fitness: 0.828 | Train Accuracy: 0.91 | Test Accuracy: 0.94
Generation: 93 | Best Fitness: 0.828 | Running Fitness: 0.828 | Train Accuracy: 0.91 | Test Accuracy: 0.94
Generation: 94 | Best Fitness: 0.828 | Running Fitness: 0.828 | Train Accuracy: 0.91 | Test Accuracy: 0.94
Generation: 95 | Best Fitness: 0.828 | Running Fitness: 0.828 | Train Accuracy: 0.91 | Test Accuracy: 0.94
Generation: 96 | Best Fitness: 0.828 | Running Fitness: 0.828 | Train Accuracy: 0.91 | Test Accuracy: 0.94
Generation: 97 | Best Fitness: 0.828 | Running Fitness: 0.828 | Train Accuracy: 0.91 | Test Accuracy: 0.94
Generation: 98 | Best Fitness: 0.828 | Running Fitness: 0.828 | Train Accuracy: 0.91 | Test Accuracy: 0.94
Generation: 99 | Best Fitness: 0.828 | Running Fitness: 0.828 | Train Accuracy: 0.91 | Test Accuracy: 0.94
Generation: 100 | Best Fitness: 0.828 | Running Fitness: 0.828 | Train Accuracy: 0.91 | Test Accuracy: 0.94
Generation: 101 | Best Fitness: 0.828 | Running Fitness: 0.828 | Train Accuracy: 0.91 | Test Accuracy: 0.94
Generation: 102 | Best Fitness: 0.828 | Running Fitness: 0.828 | Train Accuracy: 0.91 | Test Accuracy: 0.94
Generation: 103 | Best Fitness: 0.828 | Running Fitness: 0.828 | Train Accuracy: 0.91 | Test Accuracy: 0.94
Generation: 104 | Best Fitness: 0.828 | Running Fitness: 0.828 | Train Accuracy: 0.91 | Test Accuracy: 0.94
Generation: 105 | Best Fitness: 0.828 | Running Fitness: 0.828 | Train Accuracy: 0.91 | Test Accuracy: 0.94
Generation: 106 | Best Fitness: 0.846 | Running Fitness: 0.846 | Train Accuracy: 0.92 | Test Accuracy: 0.94
Generation: 107 | Best Fitness: 0.846 | Running Fitness: 0.846 | Train Accuracy: 0.92 | Test Accuracy: 0.94
Generation: 108 | Best Fitness: 0.846 | Running Fitness: 0.828 | Train Accuracy: 0.92 | Test Accuracy: 0.94
Generation: 109 | Best Fitness: 0.846 | Running Fitness: 0.828 | Train Accuracy: 0.92 | Test Accuracy: 0.94
Generation: 110 | Best Fitness: 0.846 | Running Fitness: 0.828 | Train Accuracy: 0.92 | Test Accuracy: 0.94
Generation: 111 | Best Fitness: 0.846 | Running Fitness: 0.828 | Train Accuracy: 0.92 | Test Accuracy: 0.94
Generation: 112 | Best Fitness: 0.846 | Running Fitness: 0.846 | Train Accuracy: 0.92 | Test Accuracy: 0.94
